機器番号,型式,製造番号,機器分類,簡易表示,部署名
なし,MPG-3650,32080,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12051960,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12049227,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,32066,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,32142,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12053579,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12054612,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12054616,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12054766,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12048405,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12053836,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,32069,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12060841,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12060886,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12053835,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,12061711,WJ循環器CRM,MPG-3650,循環器
なし,MPG-3650,32093,WJ循環器CRM,MPG-3650,循環器
DC-7495,MR850,2006630445456,VG_加湿器,MR850,システム
なし,MR850,220203009426,人工呼吸器,MR850,システム
DC-9469,MR850,230721624108,人工呼吸器,MR850,システム
DC-9470,MR850,230721624115,人工呼吸器,MR850,システム
DC-10339,MR850,250318043830,人工呼吸器,MR850,
なし,MSP-1100,D140008,その他,MSP-1100,管理部
DC-10013,MU-500G,16,検査機器,MU-500G,循環器
なし,ND-896V,00388,治療器救急関連機器,ND-896V,システム
DC-9125,NKV-330,1618,人工呼吸器,NKV-330,システム
DC-9126,NKV-330,1619,人工呼吸器,NKV-330,システム
DC-9879,NKV-330,1789,人工呼吸器,NKV-330,システム
DC-10455,NKV-330,1996,人工呼吸器,NKV-330,システム
DC-10456,NKV-330,1997,人工呼吸器,NKV-330,システム
DC-10606,NKV-440-OM,12,人工呼吸器,NKV-440-OM,
DC-10833,NKV-440-OM,20,人工呼吸器,NKV-440-OM,
DC-10316,NKV-550-UNV,436,人工呼吸器,NKV-550-UNV,システム
なし,NY-901B,2015,検査機器,NY-901B,管理部
なし,NY-902B,2356,検査機器,NY-902B,管理部
DC-7091,NY-902B,2088,検査機器,NY-902B,システム
なし,ＮＹ-903Ｂ,2075,検査機器,ＮＹ-903Ｂ,管理部
DC-7091,NY-903B,1865,検査機器,NY-903B,システム
DC-8793,OLG-3800,593,モニタ,OLG-3800,管理部
DC-9248,OLG-3800,602,モニタ,OLG-3800,管理部
DC-9249,OLV-4201,2431,モニタ,OLV-4201,管理部
DC-9250,OLV-4201,2432,モニタ,OLV-4201,管理部
DC-7649,OLV-4202,87,モニタ,OLV-4202,管理部
DC-4497,OptiPlex7020SFFCTO,8D65R42,検査機器,OptiPlex7020SFFCTO,システム
DC-9877,ORG-2100-Z08,1191,モニタ,ORG-2100-Z08,管理部
DC-9878,ORG-2100-Z08,1192,モニタ,ORG-2100-Z08,管理部
DC-9993,ORG-9100-Z24,9676,検査機器,ORG-9100-Z24,管理部
